Date,Name,Year,Letterboxd URI
2023-12-24,Psycho,1960,https://boxd.it/2ab2
2023-12-24,Pulp Fiction,1994,https://boxd.it/29Pq
2023-12-24,The Truman Show,1998,https://boxd.it/18U8
2023-12-24,The Matrix,1999,https://boxd.it/2a1m
2023-12-24,Scarface,1983,https://boxd.it/2b7g
2023-12-24,Django Unchained,2012,https://boxd.it/2cCk
2023-12-24,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2023-12-24,Catch Me If You Can,2002,https://boxd.it/29VS
2023-12-24,Donnie Darko,2001,https://boxd.it/2b2A
2023-12-24,V for Vendetta,2005,https://boxd.it/29Ik
2023-12-24,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2023-12-24,The Silence of the Lambs,1991,https://boxd.it/2aHW
2023-12-24,The Butterfly Effect,2004,https://boxd.it/27M0
2023-12-24,Black Panther,2018,https://boxd.it/8MHs
2023-12-27,From Up on Poppy Hill,2011,https://boxd.it/2VCa
2023-12-27,Castle in the Sky,1986,https://boxd.it/1W4G
2023-12-28,Housekeeping,1987,https://boxd.it/3sQ
2023-12-28,Belly,1998,https://boxd.it/1R5Y
2023-12-28,Big Time Gambling Boss,1968,https://boxd.it/47rK
2023-12-28,The Daytrippers,1996,https://boxd.it/F9i
2023-12-28,Stray Dogs,2013,https://boxd.it/6gL4
2023-12-28,Local Hero,1983,https://boxd.it/1Uiw
2023-12-28,Manhattan Murder Mystery,1993,https://boxd.it/1Wg8
2023-12-28,Enemy Mine,1985,https://boxd.it/1SU4
2023-12-28,Space Jam,1996,https://boxd.it/26YO
2023-12-28,Princess Mononoke,1997,https://boxd.it/2b4w
2024-01-01,Lone Star,1996,https://boxd.it/1tge
2024-01-04,Ice Age,2002,https://boxd.it/2apS
2024-01-05,Whisper of the Heart,1995,https://boxd.it/17uy
2024-01-05,A Dog's Will,2000,https://boxd.it/12u4
2024-01-05,Bacurau,2019,https://boxd.it/fSUG
2024-01-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-01-07,The Dark Knight,2008,https://boxd.it/2b0k
2024-01-08,Schindler's List,1993,https://boxd.it/2aq2
2024-01-08,Drive,2011,https://boxd.it/IG
2024-01-08,Baby Driver,2017,https://boxd.it/bhF2
2024-01-09,Moonlight,2016,https://boxd.it/d6bE
2024-01-09,Judas and the Black Messiah,2021,https://boxd.it/lsew
2024-01-11,Superbad,2007,https://boxd.it/20hO
2024-01-16,The Phantom of the Opera,1925,https://boxd.it/29bU
2024-01-17,Requiem for a Dream,2000,https://boxd.it/29VI
2024-01-17,Full Metal Jacket,1987,https://boxd.it/2a1Q
2024-01-17,When Evil Lurks,2023,https://boxd.it/rXBe
2024-01-17,The Exorcist,1973,https://boxd.it/1Yoo
2024-01-17,Climax,2018,https://boxd.it/ikvo
2024-01-17,Angst,1983,https://boxd.it/1G46
2024-01-18,Poetic Justice,1993,https://boxd.it/20og
2024-02-02,Central Station,1998,https://boxd.it/29RG
2024-02-02,Se7en,1995,https://boxd.it/29zs
2024-02-02,Moneyball,2011,https://boxd.it/glS
2024-02-02,Vanilla Sky,2001,https://boxd.it/27TK
2024-02-10,Kung Fu Panda 4,2024,https://boxd.it/CepE
2024-02-15,A Short Story,2022,https://boxd.it/zDD6
2024-02-16,Mommy,2014,https://boxd.it/7Uau
2024-02-16,Howl's Moving Castle,2004,https://boxd.it/23De
2024-03-19,The Color Purple,1985,https://boxd.it/29oO
2024-03-21,The Boy Who Harnessed the Wind,2019,https://boxd.it/hIgA
2024-03-27,The Pianist,2002,https://boxd.it/2aqc
2024-03-27,Halloween,1978,https://boxd.it/2wRu
2024-04-01,A Nightmare on Elm Street,1984,https://boxd.it/2aw0
2024-04-04,Scooby-Doo,2002,https://boxd.it/1YaQ
2024-04-04,If These Walls Could Talk,1996,https://boxd.it/1cCi
2024-04-07,Monster,2023,https://boxd.it/DJEM
2024-04-08,The Invisible Guest,2016,https://boxd.it/euce
2024-04-08,The Bodyguard,1992,https://boxd.it/29Z6
2024-04-08,Ghost,1990,https://boxd.it/2aLE
2024-04-09,It's a Wonderful Life,1946,https://boxd.it/28xA
2024-04-09,Anatomy of a Murder,1959,https://boxd.it/2baa
2024-04-09,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2024-04-26,Pokémon: Arceus and the Jewel of Life,2009,https://boxd.it/14yW
2024-04-26,Pokémon: Giratina and the Sky Warrior,2008,https://boxd.it/L52
2024-04-29,Uncut Gems,2019,https://boxd.it/gXGc
2024-05-17,Morando com o Crush,2024,https://boxd.it/IUKc
2024-05-28,The First Slam Dunk,2022,https://boxd.it/tt94
2024-06-04,Twin Peaks,1989,https://boxd.it/g8pk
2024-06-26,The Given Word,1962,https://boxd.it/h6Y
2024-07-07,Almost Famous,2000,https://boxd.it/29CQ
2024-08-09,"Basic Sanitation, the Movie",2007,https://boxd.it/1oC
2024-09-23,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2024-10-04,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-10-18,Vampire Hunter D: Bloodlust,2000,https://boxd.it/1L3i
2024-10-18,Vampire Hunter D,1985,https://boxd.it/1YCg
2024-11-11,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2024-11-19,Davi: A Common Guy from Bahia,2024,https://boxd.it/N6Qk
2024-11-27,"Merry Christmas, Drake & Josh",2008,https://boxd.it/1eHY
2025-01-01,A Minecraft Movie,2025,https://boxd.it/zRro
2025-01-02,"It's the Great Pumpkin, Charlie Brown",1966,https://boxd.it/1Qmu
2025-01-02,A Charlie Brown Valentine,2002,https://boxd.it/1qk8
2025-01-14,Wicked,2024,https://boxd.it/e8ME
2025-01-15,GoodFellas,1990,https://boxd.it/29FA
2025-04-27,Memories of Murder,2003,https://boxd.it/1TSo
2025-05-19,Seven Pounds,2008,https://boxd.it/1U8w
2025-05-19,Edge of Tomorrow,2014,https://boxd.it/4pD0
2025-07-10,The Lost Bus,2025,https://boxd.it/KYKE
2025-07-18,The Strange Thing About the Johnsons,2011,https://boxd.it/56nO
2025-07-22,Eddington,2025,https://boxd.it/o6MC
2025-07-22,Beau Is Afraid,2023,https://boxd.it/u2gE
2025-08-18,Highest 2 Lowest,2025,https://boxd.it/LcIC
2025-08-18,Malcolm X,1992,https://boxd.it/27WE
2025-09-03,The Iron Claw,2023,https://boxd.it/w5Pm
2025-11-03,Rosemary's Baby,1968,https://boxd.it/29zM
2026-01-07,Two Billion Hearts,1995,https://boxd.it/672k
2026-01-24,No Other Choice,2025,https://boxd.it/nKiA
2026-01-24,A Bittersweet Life,2005,https://boxd.it/1U4Y
2026-01-25,Rush,2013,https://boxd.it/3lyS
2026-01-25,Ford v Ferrari,2019,https://boxd.it/ce74
2026-01-26,Minority Report,2002,https://boxd.it/2aWi
2026-01-26,Black Swan,2010,https://boxd.it/Sw0
2026-01-29,Good Will Hunting,1997,https://boxd.it/2ahY
2026-02-01,The Voice of Hind Rajab,2025,https://boxd.it/UXdO
2026-02-02,2DIE4,2026,https://boxd.it/Zrfe
2026-02-04,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2026-02-08,Dune,2021,https://boxd.it/fA7G
2026-02-09,He Got Game,1998,https://boxd.it/1YBs
2026-02-12,12 Angry Men,1957,https://boxd.it/2auI
2026-02-25,Perfect Blue,1997,https://boxd.it/1W7A
2026-02-25,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS
2026-02-25,Backrooms,2026,https://boxd.it/EY6W
2026-03-03,Top Gun,1986,https://boxd.it/29JC
2026-03-06,The Second Mother,2015,https://boxd.it/9Ydm
2026-03-17,Perfect Days,2023,https://boxd.it/ATh8
2026-03-17,First Blood,1982,https://boxd.it/28U0
2026-03-18,The Green Mile,1999,https://boxd.it/2agG
2026-03-18,Dead Poets Society,1989,https://boxd.it/2aSg
2026-03-18,Saving Private Ryan,1998,https://boxd.it/29ro
2026-03-18,A Walk to Remember,2002,https://boxd.it/1WLq
2026-03-20,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE
2026-03-25,Eraserhead,1977,https://boxd.it/299u
2026-03-25,The Elephant Man,1980,https://boxd.it/27LQ
2026-03-25,The Devil's Advocate,1997,https://boxd.it/286k
2026-04-03,The Odyssey,2026,https://boxd.it/QFQU
2026-04-06,Raging Bull,1980,https://boxd.it/28yI
2026-04-07,Little Miss Sunshine,2006,https://boxd.it/29EW
2026-04-07,Taxi Driver,1976,https://boxd.it/2b8y
2026-04-07,The Imitation Game,2014,https://boxd.it/6aig
2026-04-12,Anatomy of a Fall,2023,https://boxd.it/yuDE
2026-04-23,Elden Ring,2028,https://boxd.it/V9Le
2026-04-23,The Brutalist,2024,https://boxd.it/k4BO
2026-04-29,A Different Man,2024,https://boxd.it/BoEC
2026-04-29,"Oslo, August 31st",2011,https://boxd.it/2xQC
2026-05-17,Hardware,1990,https://boxd.it/1Uas
2026-05-19,Obsession,2025,https://boxd.it/PNqo
